,Tier 1,Top Bracket,Champion,Avg Finish
Detroit Catholic Central A,0.94457,0.52974,0.01311,9.05909
Chattahoochee A,0.67454,0.07008,4e-05,20.57525
Stevenson A,0.31538,0.00853,0.0,29.0865
Sagittarius,0.04797,5e-05,0.0,44.07311
Washington A,0.01098,0.0,0.0,53.40701
Thomas Jefferson E,0.00656,0.0,0.0,55.94256
Richard Montgomery A,0.84395,0.18015,0.00028,15.78281
Great Valley,0.8779,0.24068,0.00073,14.24385
Parkway West,0.22165,0.00342,0.0,32.22065
Hunter B,0.02221,1e-05,0.0,49.19093
Waukee Northwest,0.00179,0.0,0.0,61.33286
Stevenson B,0.0325,3e-05,0.0,46.52089
Solon,0.85483,0.27291,0.00113,13.92988
Wayzata A,0.71417,0.10741,5e-05,18.99699
Legation School,0.37081,0.01561,0.0,27.12676
Springfield,0.05487,0.00014,0.0,41.56534
Johns Creek B,0.00438,0.0,0.0,57.45348
Thomas Jefferson F,0.00094,0.0,0.0,64.32028
Hunter A,0.97258,0.75781,0.08313,5.59922
Belmont,0.62846,0.0512,1e-05,21.43477
Rockford Auburn A,0.34856,0.01035,0.0,27.74274
Johns Creek A,0.04357,3e-05,0.0,43.7097
Hoover B,0.00418,0.0,0.0,57.91744
DeWitt,0.00265,0.0,0.0,59.70073
Barrington A,0.95358,0.58566,0.02036,8.2075
College Heights Christian,0.70954,0.06948,3e-05,19.90128
John P. Stevens,0.31519,0.00654,0.0,28.65037
Thomas Jefferson D,0.01268,0.0,0.0,51.37955
Northmont,0.00584,0.0,0.0,55.95462
Detroit Catholic Central C,0.00317,0.0,0.0,59.69876
Thomas Jefferson A,0.99644,0.95603,0.62116,1.97024
Glasgow,0.47317,0.00709,0.0,27.09494
Manheim Township,0.46187,0.00725,0.0,27.34061
Rockford Auburn B,0.01758,0.0,0.0,53.68046
Saint Joseph,0.0486,1e-05,0.0,46.52857
Washington B,0.00234,0.0,0.0,63.62667
Hoover A,0.66571,0.01868,0.0,24.2315
Beavercreek,0.94236,0.27158,0.00074,13.18795
Southside A,0.15722,0.00029,0.0,38.83641
Dunbar,0.22113,0.00068,0.0,35.86224
IMSA B,0.01041,0.0,0.0,58.60584
Choate Rosemary Hall B,0.00317,0.0,0.0,63.87146
Kinkaid,0.93925,0.67929,0.05801,6.94186
Thomas Jefferson B,0.76945,0.22774,0.00134,15.17122
Chattahoochee B,0.26362,0.01699,0.0,27.32136
Canyon Crest,0.01624,2e-05,0.0,46.47425
Hinsdale Central,0.01101,0.0,0.0,48.65337
Mexico,0.00043,0.0,0.0,62.83628
Strake Jesuit,0.97419,0.62637,0.02805,7.40225
University Lab,0.84696,0.14388,0.0002,16.36695
Winston Churchill A,0.09913,0.00045,0.0,38.1147
Carbondale,0.04964,6e-05,0.0,43.04422
Detroit Catholic Central B,0.02946,1e-05,0.0,46.9022
Carl Sandburg,0.00062,0.0,0.0,64.87386
Lambert,0.9757,0.82875,0.15594,4.48546
High Tech,0.50374,0.0306,0.0,23.6255
White Station,0.48843,0.02872,0.0,23.95789
Richard Montgomery B,0.00669,0.0,0.0,55.16571
Barrington B,0.02459,1e-05,0.0,46.72697
Moravia,0.00085,0.0,0.0,63.6893
Mira Loma,0.93679,0.46475,0.00819,10.01963
IMSA A,0.83229,0.17022,0.00031,15.92041
Choate Rosemary Hall A,0.07149,0.00022,0.0,39.18417
Wayzata B,0.15521,0.00163,0.0,33.66205
Winston Churchill B,0.00159,0.0,0.0,61.09931
Calloway County,0.00263,0.0,0.0,60.00336
Detroit Country Day,0.92385,0.44981,0.00698,10.34332
Ridgewood,0.7916,0.153,0.00021,16.76148
Clayton,0.24468,0.00599,0.0,30.1923
Thomas Jefferson C,0.03161,5e-05,0.0,44.82788
Waukee,0.00606,0.0,0.0,54.67629
Southside B,0.0022,0.0,0.0,59.99464
